지역명_매장명,매장명,지역명,시,군구,전화번호,주소,링크
서울 금천구_옆커폰 시흥점,옆커폰 시흥점,서울 금천구,서울,금천구,010-5609-1128,서울 금천구 금하로 619 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 금천구_휴대폰성지 금천점,휴대폰성지 금천점,서울 금천구,서울,금천구,010-9227-4244,서울 금천구 시흥대로73길 67 엠메디컬타워 1층 101호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 금천구_테크노정보통신,테크노정보통신,서울 금천구,서울,금천구,010-4182-7474,서울 금천구 은행나무로 51 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 금천구_휴대폰할인마트,휴대폰할인마트,서울 금천구,서울,금천구,010-9787-4257,서울 금천구 금하로23길 14 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
경기 광명시_청춘대길,청춘대길,경기 광명시,경기,광명시,010-7276-7560,경기 광명시 금하로 534 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
경기 광명시_휴대폰맛집,휴대폰맛집,경기 광명시,경기,광명시,010-2618-2172,경기 광명시 금하로527번길 11 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
경기 광명시_휴대폰성지 옆커폰 광명소하점,휴대폰성지 옆커폰 광명소하점,경기 광명시,경기,광명시,010-2963-5031,경기 광명시 소하로 78 신성프라자 1층 102호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
경기 광명시_이지텔 알뜰폰,이지텔 알뜰폰,경기 광명시,경기,광명시,010-6753-9639,경기 광명시 하안로288번길 10 신광빌딩 4층 402-1호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 금천구_휴대폰할인매장 가산디지털점,휴대폰할인매장 가산디지털점,서울 금천구,서울,금천구,010-8381-0940,서울 금천구 가산디지털1로 1 더루벤스밸리 1층 108-1호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 관악구_더끌림컴퍼니,더끌림컴퍼니,서울 관악구,서울,관악구,010-8108-0800,서울 관악구 난곡로 194 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 금천구_휴대폰성지 옆커폰 가산점,휴대폰성지 옆커폰 가산점,서울 금천구,서울,금천구,010-9918-4550,서울 금천구 벚꽃로36길 30 가산KS타워 1층 102호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 금천구_핸드폰성지 폰당포 가산점,핸드폰성지 폰당포 가산점,서울 금천구,서울,금천구,010-9541-7131,서울 금천구 가산디지털1로 212 코오롱디지털타워애스턴 1동 4층 405-5호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 금천구_가산휴대폰성지,가산휴대폰성지,서울 금천구,서울,금천구,010-2423-9892,서울 금천구 가산디지털1로 142 1층 113호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 금천구_체리선불폰,체리선불폰,서울 금천구,서울,금천구,010-3265-3824,서울 금천구 가산디지털1로 168 C동 1502호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 금천구_워니원선불폰,워니원선불폰,서울 금천구,서울,금천구,010-2781-1838,서울 금천구 가산디지털1로 168 우림라이온스밸리C동 1502호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 금천구_오토텔레콤,오토텔레콤,서울 금천구,서울,금천구,010-8725-2718,서울 금천구 가산디지털1로 168 우림라이온스밸리 C동 1502호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 금천구_선불폰은이지통신,선불폰은이지통신,서울 금천구,서울,금천구,010-5761-1425,서울 금천구 가산디지털1로 168 C동 1502호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 금천구_모두통신,모두통신,서울 금천구,서울,금천구,010-9945-6142,서울 금천구 가산디지털1로 168 우림라이온스밸리 C동,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 금천구_토탈정보통신,토탈정보통신,서울 금천구,서울,금천구,010-5828-2222,서울 금천구 남부순환로112길 56 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
경기 광명시_더블제로모바일,더블제로모바일,경기 광명시,경기,광명시,010-2000-6916,경기 광명시 안현로 19 101호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 구로구_소녀폰 구로디지털역점,소녀폰 구로디지털역점,서울 구로구,서울,구로구,010-9729-4959,서울 구로구 시흥대로 557 2층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
