지역명,매장명,지역명_매장명,전화번호,링크
난향동-356,휴대폰샵,난향동-356_휴대폰샵,010-8300-0522,https://www.daangn.com/kr/local-profile/%ED%9C%B4%EB%8C%80%ED%8F%B0%EC%83%B5-p5j945jby94v/?in=%EB%82%9C%ED%96%A5%EB%8F%99-356
방학동-6078,와이에이치모바일,방학동-6078_와이에이치모바일,010-4745-4600,https://www.daangn.com/kr/local-profile/%EC%99%80%EC%9D%B4%EC%97%90%EC%9D%B4%EC%B9%98%EB%AA%A8%EB%B0%94%EC%9D%BC-n99p79vvm3y9/?in=%EB%B0%A9%ED%95%99%EB%8F%99-6078
서울 동대문구,프렌즈모바일,서울 동대문구_프렌즈모바일,010-2188-4731,https://www.daangn.com/kr/local-profile/%ED%94%84%EB%A0%8C%EC%A6%88%EB%AA%A8%EB%B0%94%EC%9D%BC-2m48ebpz9wuh/
서울 특별시,2호선통신,서울 특별시_2호선통신,010-6297-0577,https://www.daangn.com/kr/local-profile/2%ED%98%B8%EC%84%A0%ED%86%B5%EC%8B%A0-jtwpyw1qxbpw/
서울 특별시,KT광나루점 펜타CA,서울 특별시_KT광나루점 펜타CA,010-2254-9016,https://www.daangn.com/kr/local-profile/kt%EA%B4%91%EB%82%98%EB%A3%A8%EC%A0%90-%ED%8E%9C%ED%83%80ca-x72v9krhj7on/
서울 특별시,SK텔레콤 강남스타대리점 청담역점,서울 특별시_SK텔레콤 강남스타대리점 청담역점,010-8560-2094,https://www.daangn.com/kr/local-profile/sk%ED%85%94%EB%A0%88%EC%BD%A4-%EA%B0%95%EB%82%A8%EC%8A%A4%ED%83%80%EB%8C%80%EB%A6%AC%EC%A0%90-%EC%B2%AD%EB%8B%B4%EC%97%AD%EC%A0%90-q9mrchf5qppr/
서울 특별시,SK텔레콤 서울ent대리점 청담동점,서울 특별시_SK텔레콤 서울ent대리점 청담동점,010-4674-3974,https://www.daangn.com/kr/local-profile/sk%ED%85%94%EB%A0%88%EC%BD%A4-%EC%84%9C%EC%9A%B8ent%EB%8C%80%EB%A6%AC%EC%A0%90-%EC%B2%AD%EB%8B%B4%EB%8F%99%EC%A0%90-2ymavnq29xwr/
서울 특별시,SK텔레콤 정원대리점 구의직영점,서울 특별시_SK텔레콤 정원대리점 구의직영점,010-4548-2546,https://www.daangn.com/kr/local-profile/sk%ED%85%94%EB%A0%88%EC%BD%A4-%EC%A0%95%EC%9B%90%EB%8C%80%EB%A6%AC%EC%A0%90-%EA%B5%AC%EC%9D%98%EC%A7%81%EC%98%81%EC%A0%90-6jooh4poy24g/
서울 특별시,SK텔레콤 화곡직영점,서울 특별시_SK텔레콤 화곡직영점,010-8685-7654,https://www.daangn.com/kr/local-profile/sk%ED%85%94%EB%A0%88%EC%BD%A4-%ED%99%94%EA%B3%A1%EC%A7%81%EC%98%81%EC%A0%90-bekaayatx8pj/
서울 특별시,가산아이폰수리 애플리페어,서울 특별시_가산아이폰수리 애플리페어,010-2026-3966,https://www.daangn.com/kr/local-profile/%EA%B0%80%EC%82%B0%EC%95%84%EC%9D%B4%ED%8F%B0%EC%88%98%EB%A6%AC-%EC%95%A0%ED%94%8C%EB%A6%AC%ED%8E%98%EC%96%B4-zezm9rrumevv/
서울 특별시,강남 키움텔레콤,서울 특별시_강남 키움텔레콤,010-6543-2084,https://www.daangn.com/kr/local-profile/%EA%B0%95%EB%82%A8-%ED%82%A4%EC%9B%80%ED%85%94%EB%A0%88%EC%BD%A4-st7tsdz1pzzh/
서울 특별시,군자폰,서울 특별시_군자폰,010-9586-8978,https://www.daangn.com/kr/local-profile/%EA%B5%B0%EC%9E%90%ED%8F%B0-x5j3d4aqrabd/
서울 특별시,노란마켓,서울 특별시_노란마켓,010-3559-9871,https://www.daangn.com/kr/local-profile/%EB%85%B8%EB%9E%80%EB%A7%88%EC%BC%93-ch7sv4ydg9sg/
서울 특별시,바이폰,서울 특별시_바이폰,010-5581-0331,https://www.daangn.com/kr/local-profile/%EB%B0%94%EC%9D%B4%ED%8F%B0-yfeprgon4z84/
서울 특별시,사당하마,서울 특별시_사당하마,010-2050-9099,https://www.daangn.com/kr/local-profile/1005995/
서울 특별시,썬엔텔레콤,서울 특별시_썬엔텔레콤,010-2469-8998,https://www.daangn.com/kr/local-profile/%EC%8D%AC%EC%97%94%ED%85%94%EB%A0%88%EC%BD%A4-pacd531jsu1a/
