매장명,주소,전화번호,카테고리,카카오맵링크
휴대폰 성지 옆커 폰 광주양벌점,경기 광주시 양벌로 300-1 101동 1층 102호,010-8069-8353,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B4%91%EC%A3%BC&tab=place#none
휴대폰아울렛,경기 광주시 경안로41번길 6 금호리첸시아 상가 1층 A-128호,010-7100-9060,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B4%91%EC%A3%BC&tab=place#none
중고폰매입아이폰수리 에코폰 경기광주점,경기 광주시 경안로41번길 6 102동 1층,010-8098-6785,,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B4%91%EC%A3%BC&tab=place#none
라온통신,경기 광주시 경안로41번길 6 금호리첸시아 D동 1층 116호,010-7726-9986,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B4%91%EC%A3%BC&tab=place#none
옆커폰 분당점,경기 성남시 분당구 분당로263번길 39 1층,010-6333-3649,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B4%91%EC%A3%BC&tab=place#none
성남휴대폰성지 모두의폰 금광점,경기 성남시 중원구 광명로 339 1층 101호,010-8686-8612,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B4%91%EC%A3%BC&tab=place#none
소녀폰 성남모란점,경기 성남시 중원구 성남대로 1133 성남메트로칸 2층 9-B호,010-7778-4959,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B4%91%EC%A3%BC&tab=place#none
휴대폰성지 범텔레콤,경기 성남시 중원구 자혜로 73-2 1층,010-5766-6966,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B4%91%EC%A3%BC&tab=place#none
휴대폰가게 은행시장점,경기 성남시 수정구 산성대로 529 1층 1호,010-2103-6622,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B4%91%EC%A3%BC&tab=place#none
SC통신,경기 성남시 중원구 광명로 347,010-7767-7517,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B4%91%EC%A3%BC&tab=place#none
