매장명,주소,전화번호,카테고리,카카오맵링크
옆커폰 시흥점,서울 금천구 금하로 619 1층,010-5609-1128,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
휴대폰성지 금천점,서울 금천구 시흥대로73길 67 엠메디컬타워 1층 101호,010-9227-4244,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
테크노정보통신,서울 금천구 은행나무로 51 1층,010-4182-7474,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
휴대폰할인마트,서울 금천구 금하로23길 14 1층,010-9787-4257,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
청춘대길,경기 광명시 금하로 534 1층,010-7276-7560,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
휴대폰맛집,경기 광명시 금하로527번길 11 1층,010-2618-2172,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
휴대폰성지 옆커폰 광명소하점,경기 광명시 소하로 78 신성프라자 1층 102호,010-2963-5031,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
이지텔 알뜰폰,경기 광명시 하안로288번길 10 신광빌딩 4층 402-1호,010-6753-9639,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
휴대폰할인매장 가산디지털점,서울 금천구 가산디지털1로 1 더루벤스밸리 1층 108-1호,010-8381-0940,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
더끌림컴퍼니,서울 관악구 난곡로 194 1층,010-8108-0800,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%9C%ED%9D%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
휴대폰성지 옆커폰 가산점,서울 금천구 벚꽃로36길 30 가산KS타워 1층 102호,010-9918-4550,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
핸드폰성지 폰당포 가산점,서울 금천구 가산디지털1로 212 코오롱디지털타워애스턴 1동 4층 405-5호,010-9541-7131,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
가산휴대폰성지,서울 금천구 가산디지털1로 142 1층 113호,010-2423-9892,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
체리선불폰,서울 금천구 가산디지털1로 168 C동 1502호,010-3265-3824,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
워니원선불폰,서울 금천구 가산디지털1로 168 우림라이온스밸리C동 1502호,010-2781-1838,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
오토텔레콤,서울 금천구 가산디지털1로 168 우림라이온스밸리 C동 1502호,010-8725-2718,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
선불폰은이지통신,서울 금천구 가산디지털1로 168 C동 1502호,010-5761-1425,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
모두통신,서울 금천구 가산디지털1로 168 우림라이온스밸리 C동,010-9945-6142,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
토탈정보통신,서울 금천구 남부순환로112길 56 1층,010-5828-2222,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
더블제로모바일,경기 광명시 안현로 19 101호,010-2000-6916,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
소녀폰 구로디지털역점,서울 구로구 시흥대로 557 2층,010-9729-4959,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
구로중고폰 에코폰 구로디지털단지점,서울 구로구 디지털로32가길 1 403호,010-6303-1327,,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
폰싸몰,"서울 구로구 구로동로 32 1층 101,102호",010-2248-0199,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
미미텔레콤,서울 구로구 디지털로32다길 23 805호,010-2887-7557,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
